,,bit_acc,bit_acc,bit_acc,bit_acc,word_acc,word_acc,word_acc,word_acc,ID_acc,ID_acc,ID_acc,ID_acc,pred_acc,pred_acc,pred_acc,pred_acc
,,mean,min,max,std,mean,min,max,std,mean,min,max,std,mean,min,max,std
attack,param0,,,,,,,,,,,,,,,,
blur,3.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
blur,5.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
blur,7.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
blur,9.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
blur,11.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
blur,13.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
brightness,0.5,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
brightness,1.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
brightness,1.5,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
brightness,2.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
center_crop,0.1,0.75,0.75,0.75,,0.0,0,0,,0.0,0.0,0.0,,0.0,0.0,0.0,
center_crop,0.2,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
center_crop,0.30000000000000004,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
center_crop,0.4,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
center_crop,0.5,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
center_crop,0.6000000000000001,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
center_crop,0.7000000000000001,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
center_crop,0.8,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
center_crop,0.9,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
center_crop,1.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
contrast,0.5,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
contrast,1.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
contrast,1.5,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
contrast,2.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
hue,-0.5,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
hue,-0.25,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
hue,0.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
hue,0.2,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
hue,0.25,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
hue,0.5,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
jpeg,30.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,,0.0,0,0,,0.5,0.5,0.5,,0.0,0.0,0.0,
jpeg,40.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,,0.0,0,0,,0.5,0.5,0.5,,0.0,0.0,0.0,
jpeg,50.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
jpeg,60.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
jpeg,70.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
jpeg,80.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
jpeg,90.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
jpeg,100.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
meme_format,-1.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
none,-1.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
resize,0.30000000000000004,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
resize,0.4,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
resize,0.5,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
resize,0.6000000000000001,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
resize,0.7000000000000001,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
resize,0.8,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
resize,0.9,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
resize,1.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
rotation,0.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
rotation,5.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
rotation,10.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
rotation,15.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
rotation,20.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
rotation,25.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
rotation,30.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
rotation,35.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
rotation,40.0,1.0,1.0,1.0,,1.0,1,1,,1.0,1.0,1.0,,0.0,0.0,0.0,
